platform,token,company,board_url,api_url,open_roles,count_basis,region
lever,byborgenterprises,byborgenterprises,https://jobs.eu.lever.co/byborgenterprises,https://api.eu.lever.co/v0/postings/byborgenterprises?mode=json,5,observed,EU
lever,callan,callan,https://jobs.lever.co/callan,https://api.lever.co/v0/postings/callan?mode=json,2,observed,US
lever,cambiumnetworks,cambiumnetworks,https://jobs.lever.co/cambiumnetworks,https://api.lever.co/v0/postings/cambiumnetworks?mode=json,1,observed,US
lever,capital,capital,https://jobs.lever.co/capital,https://api.lever.co/v0/postings/capital?mode=json,38,observed,US
lever,cirrus,cirrus,https://jobs.eu.lever.co/cirrus,https://api.eu.lever.co/v0/postings/cirrus?mode=json,112,observed,EU
lever,cleanspark,cleanspark,https://jobs.lever.co/cleanspark,https://api.lever.co/v0/postings/cleanspark?mode=json,11,observed,US
lever,cloudinary,cloudinary,https://jobs.lever.co/cloudinary,https://api.lever.co/v0/postings/cloudinary?mode=json,21,observed,US
lever,coinspaid,coinspaid,https://jobs.eu.lever.co/coinspaid,https://api.eu.lever.co/v0/postings/coinspaid?mode=json,30,observed,EU
lever,controlai,controlai,https://jobs.eu.lever.co/controlai,https://api.eu.lever.co/v0/postings/controlai?mode=json,3,observed,EU
lever,coretechsecurity,coretechsecurity,https://jobs.eu.lever.co/coretechsecurity,https://api.eu.lever.co/v0/postings/coretechsecurity?mode=json,14,observed,EU
lever,creatio,creatio,https://jobs.eu.lever.co/creatio,https://api.eu.lever.co/v0/postings/creatio?mode=json,76,observed,EU
lever,crypto,crypto,https://jobs.lever.co/crypto,https://api.lever.co/v0/postings/crypto?mode=json,53,observed,US
lever,csmcy,csmcy,https://jobs.eu.lever.co/csmcy,https://api.eu.lever.co/v0/postings/csmcy?mode=json,211,observed,EU
lever,diabolocom,diabolocom,https://jobs.eu.lever.co/diabolocom,https://api.eu.lever.co/v0/postings/diabolocom?mode=json,11,observed,EU
lever,dlocal,dlocal,https://jobs.lever.co/dlocal,https://api.lever.co/v0/postings/dlocal?mode=json,54,observed,US
lever,dnl,dnl,https://jobs.eu.lever.co/dnl,https://api.eu.lever.co/v0/postings/dnl?mode=json,0,observed,EU
lever,dutch,dutch,https://jobs.lever.co/dutch,https://api.lever.co/v0/postings/dutch?mode=json,13,observed,US
lever,dwolla,dwolla,https://jobs.lever.co/dwolla,https://api.lever.co/v0/postings/dwolla?mode=json,0,observed,US
lever,easol,easol,https://jobs.eu.lever.co/easol,https://api.eu.lever.co/v0/postings/easol?mode=json,5,observed,EU
lever,efficioconsulting,efficioconsulting,https://jobs.eu.lever.co/efficioconsulting,https://api.eu.lever.co/v0/postings/efficioconsulting?mode=json,37,observed,EU
lever,elementsolutions,elementsolutions,https://jobs.lever.co/elementsolutions,https://api.lever.co/v0/postings/elementsolutions?mode=json,3,observed,US
lever,elfbeauty,elfbeauty,https://jobs.lever.co/elfbeauty,https://api.lever.co/v0/postings/elfbeauty?mode=json,70,observed,US
lever,engelvoelkers,engelvoelkers,https://jobs.eu.lever.co/engelvoelkers,https://api.eu.lever.co/v0/postings/engelvoelkers?mode=json,321,observed,EU
lever,entrata,entrata,https://jobs.lever.co/entrata,https://api.lever.co/v0/postings/entrata?mode=json,14,observed,US
lever,everseen,everseen,https://jobs.eu.lever.co/everseen,https://api.eu.lever.co/v0/postings/everseen?mode=json,22,observed,EU
lever,Expana,Expana,https://jobs.eu.lever.co/Expana,https://api.eu.lever.co/v0/postings/Expana?mode=json,1,observed,EU
lever,extremenetworks,extremenetworks,https://jobs.lever.co/extremenetworks,https://api.lever.co/v0/postings/extremenetworks?mode=json,136,observed,US
lever,fgi,fgi,https://jobs.lever.co/fgi,https://api.lever.co/v0/postings/fgi?mode=json,3,observed,US
lever,filevine,filevine,https://jobs.lever.co/filevine,https://api.lever.co/v0/postings/filevine?mode=json,135,observed,US
lever,finch,finch,https://jobs.lever.co/finch,https://api.lever.co/v0/postings/finch?mode=json,11,observed,US
lever,findem,findem,https://jobs.lever.co/findem,https://api.lever.co/v0/postings/findem?mode=json,3,observed,US
lever,fiscalnote,fiscalnote,https://jobs.lever.co/fiscalnote,https://api.lever.co/v0/postings/fiscalnote?mode=json,17,observed,US
lever,frontier,frontier,https://jobs.eu.lever.co/frontier,https://api.eu.lever.co/v0/postings/frontier?mode=json,14,observed,EU
lever,fundrise,fundrise,https://jobs.lever.co/fundrise,https://api.lever.co/v0/postings/fundrise?mode=json,3,observed,US
lever,genesis,genesis,https://jobs.lever.co/genesis,https://api.lever.co/v0/postings/genesis?mode=json,5,observed,US
lever,genomines,genomines,https://jobs.eu.lever.co/genomines,https://api.eu.lever.co/v0/postings/genomines?mode=json,6,observed,EU
lever,grand,grand,https://jobs.lever.co/grand,https://api.lever.co/v0/postings/grand?mode=json,9,observed,US
lever,grape-health,grape-health,https://jobs.eu.lever.co/grape-health,https://api.eu.lever.co/v0/postings/grape-health?mode=json,10,observed,EU
lever,greenlight,greenlight,https://jobs.lever.co/greenlight,https://api.lever.co/v0/postings/greenlight?mode=json,13,observed,US
lever,harmony,harmony,https://jobs.lever.co/harmony,https://api.lever.co/v0/postings/harmony?mode=json,9,observed,US
lever,healthcare,healthcare,https://jobs.lever.co/healthcare,https://api.lever.co/v0/postings/healthcare?mode=json,2,observed,US
lever,hkr,hkr,https://jobs.eu.lever.co/hkr,https://api.eu.lever.co/v0/postings/hkr?mode=json,10,observed,EU
lever,horizon,horizon,https://jobs.lever.co/horizon,https://api.lever.co/v0/postings/horizon?mode=json,1,observed,US
lever,idt,idt,https://jobs.lever.co/idt,https://api.lever.co/v0/postings/idt?mode=json,101,observed,US
lever,immuta,immuta,https://jobs.lever.co/immuta,https://api.lever.co/v0/postings/immuta?mode=json,9,observed,US
lever,infinitygroup,infinitygroup,https://jobs.eu.lever.co/infinitygroup,https://api.eu.lever.co/v0/postings/infinitygroup?mode=json,6,observed,EU
lever,innodata,innodata,https://jobs.lever.co/innodata,https://api.lever.co/v0/postings/innodata?mode=json,3,observed,US
lever,innogames,innogames,https://jobs.eu.lever.co/innogames,https://api.eu.lever.co/v0/postings/innogames?mode=json,5,observed,EU
lever,insomniacookiesuk,insomniacookiesuk,https://jobs.eu.lever.co/insomniacookiesuk,https://api.eu.lever.co/v0/postings/insomniacookiesuk?mode=json,7,observed,EU
lever,ivcevidensia,ivcevidensia,https://jobs.eu.lever.co/ivcevidensia,https://api.eu.lever.co/v0/postings/ivcevidensia?mode=json,493,observed,EU
lever,jacquemus,jacquemus,https://jobs.eu.lever.co/jacquemus,https://api.eu.lever.co/v0/postings/jacquemus?mode=json,42,observed,EU
lever,jumpcloud,jumpcloud,https://jobs.lever.co/jumpcloud,https://api.lever.co/v0/postings/jumpcloud?mode=json,17,observed,US
lever,jutromedical,jutromedical,https://jobs.eu.lever.co/jutromedical,https://api.eu.lever.co/v0/postings/jutromedical?mode=json,0,observed,EU
lever,karllagerfeld,karllagerfeld,https://jobs.eu.lever.co/karllagerfeld,https://api.eu.lever.co/v0/postings/karllagerfeld?mode=json,45,observed,EU
lever,kepler,kepler,https://jobs.lever.co/kepler,https://api.lever.co/v0/postings/kepler?mode=json,27,observed,US
lever,kto,kto,https://jobs.eu.lever.co/kto,https://api.eu.lever.co/v0/postings/kto?mode=json,1,observed,EU
lever,kwalee,kwalee,https://jobs.eu.lever.co/kwalee,https://api.eu.lever.co/v0/postings/kwalee?mode=json,3,observed,EU
lever,kyivstar,kyivstar,https://jobs.lever.co/kyivstar,https://api.lever.co/v0/postings/kyivstar?mode=json,117,observed,US
lever,life,life,https://jobs.lever.co/life,https://api.lever.co/v0/postings/life?mode=json,56,observed,US
lever,lifestance,lifestance,https://jobs.lever.co/lifestance,https://api.lever.co/v0/postings/lifestance?mode=json,1386,observed,US
lever,lindblad-expeditions,lindblad-expeditions,https://jobs.lever.co/lindblad-expeditions,https://api.lever.co/v0/postings/lindblad-expeditions?mode=json,39,observed,US
lever,lionbridge,lionbridge,https://jobs.eu.lever.co/lionbridge,https://api.eu.lever.co/v0/postings/lionbridge?mode=json,43,observed,EU
lever,loadsmart,loadsmart,https://jobs.lever.co/loadsmart,https://api.lever.co/v0/postings/loadsmart?mode=json,14,observed,US
lever,logrocket,logrocket,https://jobs.lever.co/logrocket,https://api.lever.co/v0/postings/logrocket?mode=json,6,observed,US
lever,lovehoneygroup,lovehoneygroup,https://jobs.eu.lever.co/lovehoneygroup,https://api.eu.lever.co/v0/postings/lovehoneygroup?mode=json,39,observed,EU
lever,markt-pilot,markt-pilot,https://jobs.eu.lever.co/markt-pilot,https://api.eu.lever.co/v0/postings/markt-pilot?mode=json,9,observed,EU
lever,mavenoid,mavenoid,https://jobs.eu.lever.co/mavenoid,https://api.eu.lever.co/v0/postings/mavenoid?mode=json,0,observed,EU
lever,mega,mega,https://jobs.lever.co/mega,https://api.lever.co/v0/postings/mega?mode=json,12,observed,US
lever,metlife,metlife,https://jobs.lever.co/metlife,https://api.lever.co/v0/postings/metlife?mode=json,39,observed,US
lever,mobileye,mobileye,https://jobs.eu.lever.co/mobileye,https://api.eu.lever.co/v0/postings/mobileye?mode=json,179,observed,EU
lever,neon,neon,https://jobs.lever.co/neon,https://api.lever.co/v0/postings/neon?mode=json,12,observed,US
lever,newton,newton,https://jobs.lever.co/newton,https://api.lever.co/v0/postings/newton?mode=json,3,observed,US
lever,numan,numan,https://jobs.eu.lever.co/numan,https://api.eu.lever.co/v0/postings/numan?mode=json,9,observed,EU
lever,objectway,objectway,https://jobs.eu.lever.co/objectway,https://api.eu.lever.co/v0/postings/objectway?mode=json,33,observed,EU
lever,olx,olx,https://jobs.eu.lever.co/olx,https://api.eu.lever.co/v0/postings/olx?mode=json,47,observed,EU
lever,omnidian,omnidian,https://jobs.lever.co/omnidian,https://api.lever.co/v0/postings/omnidian?mode=json,6,observed,US
lever,oni,oni,https://jobs.eu.lever.co/oni,https://api.eu.lever.co/v0/postings/oni?mode=json,9,observed,EU
lever,opencast,opencast,https://jobs.eu.lever.co/opencast,https://api.eu.lever.co/v0/postings/opencast?mode=json,19,observed,EU
lever,optotune,optotune,https://jobs.eu.lever.co/optotune,https://api.eu.lever.co/v0/postings/optotune?mode=json,7,observed,EU
lever,orasio,orasio,https://jobs.eu.lever.co/orasio,https://api.eu.lever.co/v0/postings/orasio?mode=json,8,observed,EU
lever,outreach,outreach,https://jobs.lever.co/outreach,https://api.lever.co/v0/postings/outreach?mode=json,36,observed,US
lever,ovoko,ovoko,https://jobs.eu.lever.co/ovoko,https://api.eu.lever.co/v0/postings/ovoko?mode=json,20,observed,EU
lever,palantir,palantir,https://jobs.lever.co/palantir,https://api.lever.co/v0/postings/palantir?mode=json,307,observed,US
lever,pattern,pattern,https://jobs.lever.co/pattern,https://api.lever.co/v0/postings/pattern?mode=json,85,observed,US
lever,paydock,paydock,https://jobs.eu.lever.co/paydock,https://api.eu.lever.co/v0/postings/paydock?mode=json,0,observed,EU
lever,peppy,peppy,https://jobs.eu.lever.co/peppy,https://api.eu.lever.co/v0/postings/peppy?mode=json,1,observed,EU
lever,plexus,plexus,https://jobs.lever.co/plexus,https://api.lever.co/v0/postings/plexus?mode=json,2,observed,US
lever,pnlfin,pnlfin,https://jobs.eu.lever.co/pnlfin,https://api.eu.lever.co/v0/postings/pnlfin?mode=json,81,observed,EU
lever,prima,prima,https://jobs.eu.lever.co/prima,https://api.eu.lever.co/v0/postings/prima?mode=json,87,observed,EU
lever,prismic,prismic,https://jobs.lever.co/prismic,https://api.lever.co/v0/postings/prismic?mode=json,7,observed,US
lever,prosus,prosus,https://jobs.eu.lever.co/prosus,https://api.eu.lever.co/v0/postings/prosus?mode=json,11,observed,EU
lever,protolabs,protolabs,https://jobs.lever.co/protolabs,https://api.lever.co/v0/postings/protolabs?mode=json,86,observed,US
lever,provectus,provectus,https://jobs.lever.co/provectus,https://api.lever.co/v0/postings/provectus?mode=json,34,observed,US
lever,quadcode,quadcode,https://jobs.eu.lever.co/quadcode,https://api.eu.lever.co/v0/postings/quadcode?mode=json,17,observed,EU
lever,quanticdream,quanticdream,https://jobs.eu.lever.co/quanticdream,https://api.eu.lever.co/v0/postings/quanticdream?mode=json,3,observed,EU
lever,quantinuum,quantinuum,https://jobs.eu.lever.co/quantinuum,https://api.eu.lever.co/v0/postings/quantinuum?mode=json,91,observed,EU
lever,refugeerights,refugeerights,https://jobs.eu.lever.co/refugeerights,https://api.eu.lever.co/v0/postings/refugeerights?mode=json,4,observed,EU
lever,relay,relay,https://jobs.lever.co/relay,https://api.lever.co/v0/postings/relay?mode=json,3,observed,US
lever,replimune,replimune,https://jobs.lever.co/replimune,https://api.lever.co/v0/postings/replimune?mode=json,1,observed,US
lever,rigetti,rigetti,https://jobs.lever.co/rigetti,https://api.lever.co/v0/postings/rigetti?mode=json,9,observed,US
lever,rise,rise,https://jobs.lever.co/rise,https://api.lever.co/v0/postings/rise?mode=json,25,observed,US
lever,scaleway,scaleway,https://jobs.lever.co/scaleway,https://api.lever.co/v0/postings/scaleway?mode=json,39,observed,US
lever,scholarrock,scholarrock,https://jobs.lever.co/scholarrock,https://api.lever.co/v0/postings/scholarrock?mode=json,21,observed,US
lever,seb,seb,https://jobs.eu.lever.co/seb,https://api.eu.lever.co/v0/postings/seb?mode=json,105,observed,EU
lever,second,second,https://jobs.eu.lever.co/second,https://api.eu.lever.co/v0/postings/second?mode=json,4,observed,EU
lever,secureframe,secureframe,https://jobs.lever.co/secureframe,https://api.lever.co/v0/postings/secureframe?mode=json,15,observed,US
lever,shieldai,shieldai,https://jobs.lever.co/shieldai,https://api.lever.co/v0/postings/shieldai?mode=json,433,observed,US
lever,sila,sila,https://jobs.lever.co/sila,https://api.lever.co/v0/postings/sila?mode=json,210,observed,US
lever,silverfin,silverfin,https://jobs.eu.lever.co/silverfin,https://api.eu.lever.co/v0/postings/silverfin?mode=json,9,observed,EU
lever,sonatype,sonatype,https://jobs.lever.co/sonatype,https://api.lever.co/v0/postings/sonatype?mode=json,31,observed,US
lever,sportalliance,sportalliance,https://jobs.eu.lever.co/sportalliance,https://api.eu.lever.co/v0/postings/sportalliance?mode=json,7,observed,EU
lever,spotify,spotify,https://jobs.lever.co/spotify,https://api.lever.co/v0/postings/spotify?mode=json,78,observed,US
lever,stellar,stellar,https://jobs.eu.lever.co/stellar,https://api.eu.lever.co/v0/postings/stellar?mode=json,11,observed,EU
lever,super,super,https://jobs.lever.co/super,https://api.lever.co/v0/postings/super?mode=json,2,observed,US
lever,supercharge,supercharge,https://jobs.eu.lever.co/supercharge,https://api.eu.lever.co/v0/postings/supercharge?mode=json,11,observed,EU
lever,swave,swave,https://jobs.eu.lever.co/swave,https://api.eu.lever.co/v0/postings/swave?mode=json,2,observed,EU
lever,symphony,symphony,https://jobs.eu.lever.co/symphony,https://api.eu.lever.co/v0/postings/symphony?mode=json,6,observed,EU
lever,sysdig,sysdig,https://jobs.lever.co/sysdig,https://api.lever.co/v0/postings/sysdig?mode=json,13,observed,US
lever,system1,system1,https://jobs.lever.co/system1,https://api.lever.co/v0/postings/system1?mode=json,4,observed,US
lever,telesat,telesat,https://jobs.lever.co/telesat,https://api.lever.co/v0/postings/telesat?mode=json,54,observed,US
lever,thirdfort,thirdfort,https://jobs.eu.lever.co/thirdfort,https://api.eu.lever.co/v0/postings/thirdfort?mode=json,7,observed,EU
lever,tomtom,tomtom,https://jobs.eu.lever.co/tomtom,https://api.eu.lever.co/v0/postings/tomtom?mode=json,20,observed,EU
lever,tradelink,tradelink,https://jobs.eu.lever.co/tradelink,https://api.eu.lever.co/v0/postings/tradelink?mode=json,3,observed,EU
lever,trellis,trellis,https://jobs.lever.co/trellis,https://api.lever.co/v0/postings/trellis?mode=json,4,observed,US
lever,tri,tri,https://jobs.lever.co/tri,https://api.lever.co/v0/postings/tri?mode=json,15,observed,US
lever,trio,trio,https://jobs.lever.co/trio,https://api.lever.co/v0/postings/trio?mode=json,1,observed,US
lever,truv,truv,https://jobs.lever.co/truv,https://api.lever.co/v0/postings/truv?mode=json,12,observed,US
lever,tuumplatform,tuumplatform,https://jobs.eu.lever.co/tuumplatform,https://api.eu.lever.co/v0/postings/tuumplatform?mode=json,3,observed,EU
lever,unify,unify,https://jobs.lever.co/unify,https://api.lever.co/v0/postings/unify?mode=json,9,observed,US
lever,unusual,unusual,https://jobs.lever.co/unusual,https://api.lever.co/v0/postings/unusual?mode=json,10,observed,US
lever,unzer,unzer,https://jobs.eu.lever.co/unzer,https://api.eu.lever.co/v0/postings/unzer?mode=json,6,observed,EU
lever,veeva,veeva,https://jobs.lever.co/veeva,https://api.lever.co/v0/postings/veeva?mode=json,894,observed,US
lever,verygoodsecurity,verygoodsecurity,https://jobs.lever.co/verygoodsecurity,https://api.lever.co/v0/postings/verygoodsecurity?mode=json,13,observed,US
lever,vida,vida,https://jobs.lever.co/vida,https://api.lever.co/v0/postings/vida?mode=json,7,observed,US
lever,visionrt,visionrt,https://jobs.eu.lever.co/visionrt,https://api.eu.lever.co/v0/postings/visionrt?mode=json,16,observed,EU
lever,volta-medical,volta-medical,https://jobs.eu.lever.co/volta-medical,https://api.eu.lever.co/v0/postings/volta-medical?mode=json,5,observed,EU
lever,vwgds,vwgds,https://jobs.eu.lever.co/vwgds,https://api.eu.lever.co/v0/postings/vwgds?mode=json,17,observed,EU
lever,wealthfront,wealthfront,https://jobs.lever.co/wealthfront,https://api.lever.co/v0/postings/wealthfront?mode=json,23,observed,US
lever,weride,weride,https://jobs.lever.co/weride,https://api.lever.co/v0/postings/weride?mode=json,18,observed,US
lever,westernacher,westernacher,https://jobs.eu.lever.co/westernacher,https://api.eu.lever.co/v0/postings/westernacher?mode=json,64,observed,EU
lever,wisdomtree,wisdomtree,https://jobs.lever.co/wisdomtree,https://api.lever.co/v0/postings/wisdomtree?mode=json,3,observed,US
lever,wypoon,wypoon,https://jobs.eu.lever.co/wypoon,https://api.eu.lever.co/v0/postings/wypoon?mode=json,12,observed,EU
lever,xentral,xentral,https://jobs.eu.lever.co/xentral,https://api.eu.lever.co/v0/postings/xentral?mode=json,1,observed,EU
lever,xm,xm,https://jobs.eu.lever.co/xm,https://api.eu.lever.co/v0/postings/xm?mode=json,86,observed,EU
lever,zeta,zeta,https://jobs.lever.co/zeta,https://api.lever.co/v0/postings/zeta?mode=json,21,observed,US
lever,zoox,zoox,https://jobs.lever.co/zoox,https://api.lever.co/v0/postings/zoox?mode=json,236,observed,US
